,filename,number,y
84,data/valid/image1362_38xxx.png,2,"[3, 8, 10, 10, 10]"
85,data/valid/image942_30xxx.png,2,"[3, 0, 10, 10, 10]"
86,data/valid/image2430_17xxx.png,2,"[1, 7, 10, 10, 10]"
87,data/valid/image929_24xxx.png,2,"[2, 4, 10, 10, 10]"
88,data/valid/image543_137xx.png,3,"[1, 3, 7, 10, 10]"
89,data/valid/image1756_149xx.png,3,"[1, 4, 9, 10, 10]"
90,data/valid/image3501_203xx.png,3,"[2, 0, 3, 10, 10]"
91,data/valid/image3150_42xxx.png,2,"[4, 2, 10, 10, 10]"
92,data/valid/image110_77xxx.png,2,"[7, 7, 10, 10, 10]"
93,data/valid/image1058_79xxx.png,2,"[7, 9, 10, 10, 10]"
94,data/valid/image3377_50xxx.png,2,"[5, 0, 10, 10, 10]"
95,data/valid/image2272_286xx.png,3,"[2, 8, 6, 10, 10]"
96,data/valid/image2481_14xxx.png,2,"[1, 4, 10, 10, 10]"
97,data/valid/image318_19xxx.png,2,"[1, 9, 10, 10, 10]"
98,data/valid/image2706_1591x.png,4,"[1, 5, 9, 1, 10]"
99,data/valid/image2963_34xxx.png,2,"[3, 4, 10, 10, 10]"
100,data/valid/image3070_5xxxx.png,1,"[5, 10, 10, 10, 10]"
101,data/valid/image2870_121xx.png,3,"[1, 2, 1, 10, 10]"
102,data/valid/image34_351xx.png,3,"[3, 5, 1, 10, 10]"
103,data/valid/image1476_66xxx.png,2,"[6, 6, 10, 10, 10]"
104,data/valid/image615_195xx.png,3,"[1, 9, 5, 10, 10]"
105,data/valid/image3397_70xxx.png,2,"[7, 0, 10, 10, 10]"
106,data/valid/image2810_75xxx.png,2,"[7, 5, 10, 10, 10]"
107,data/valid/image2333_115xx.png,3,"[1, 1, 5, 10, 10]"
108,data/valid/image364_3300x.png,4,"[3, 3, 0, 0, 10]"
109,data/valid/image3794_23xxx.png,2,"[2, 3, 10, 10, 10]"
110,data/valid/image2269_86xxx.png,2,"[8, 6, 10, 10, 10]"
111,data/valid/image2192_31xxx.png,2,"[3, 1, 10, 10, 10]"
112,data/valid/image2008_21xxx.png,2,"[2, 1, 10, 10, 10]"
113,data/valid/image2043_6698x.png,4,"[6, 6, 9, 8, 10]"
114,data/valid/image1847_31xxx.png,2,"[3, 1, 10, 10, 10]"
115,data/valid/image668_2475x.png,4,"[2, 4, 7, 5, 10]"
116,data/valid/image2991_3xxxx.png,1,"[3, 10, 10, 10, 10]"
117,data/valid/image1347_31xxx.png,2,"[3, 1, 10, 10, 10]"
118,data/valid/image179_29xxx.png,2,"[2, 9, 10, 10, 10]"
119,data/valid/image999_86xxx.png,2,"[8, 6, 10, 10, 10]"
120,data/valid/image3749_96xxx.png,2,"[9, 6, 10, 10, 10]"
121,data/valid/image3180_26xxx.png,2,"[2, 6, 10, 10, 10]"
122,data/valid/image404_39xxx.png,2,"[3, 9, 10, 10, 10]"
123,data/valid/image2847_207xx.png,3,"[2, 0, 7, 10, 10]"
124,data/valid/image188_19xxx.png,2,"[1, 9, 10, 10, 10]"
125,data/valid/image588_393xx.png,3,"[3, 9, 3, 10, 10]"
126,data/valid/image3738_17xxx.png,2,"[1, 7, 10, 10, 10]"
127,data/valid/image2454_34xxx.png,2,"[3, 4, 10, 10, 10]"
128,data/valid/image3899_33xxx.png,2,"[3, 3, 10, 10, 10]"
129,data/valid/image714_20xxx.png,2,"[2, 0, 10, 10, 10]"
130,data/valid/image1405_50xxx.png,2,"[5, 0, 10, 10, 10]"
131,data/valid/image3130_106xx.png,3,"[1, 0, 6, 10, 10]"
132,data/valid/image2048_8xxxx.png,1,"[8, 10, 10, 10, 10]"
133,data/valid/image1730_26xxx.png,2,"[2, 6, 10, 10, 10]"
134,data/valid/image3943_915xx.png,3,"[9, 1, 5, 10, 10]"
135,data/valid/image2980_25xxx.png,2,"[2, 5, 10, 10, 10]"
136,data/valid/image14_20xxx.png,2,"[2, 0, 10, 10, 10]"
137,data/valid/image1258_4xxxx.png,1,"[4, 10, 10, 10, 10]"
138,data/valid/image833_16xxx.png,2,"[1, 6, 10, 10, 10]"
139,data/valid/image440_4xxxx.png,1,"[4, 10, 10, 10, 10]"
140,data/valid/image2502_2xxxx.png,1,"[2, 10, 10, 10, 10]"
141,data/valid/image1853_10xxx.png,2,"[1, 0, 10, 10, 10]"
142,data/valid/image1145_43xxx.png,2,"[4, 3, 10, 10, 10]"
143,data/valid/image2144_103xx.png,3,"[1, 0, 3, 10, 10]"
144,data/valid/image2462_118xx.png,3,"[1, 1, 8, 10, 10]"
145,data/valid/image2076_2130x.png,4,"[2, 1, 3, 0, 10]"
146,data/valid/image384_280xx.png,3,"[2, 8, 0, 10, 10]"
147,data/valid/image3472_121xx.png,3,"[1, 2, 1, 10, 10]"
148,data/valid/image748_31xxx.png,2,"[3, 1, 10, 10, 10]"
149,data/valid/image990_14xxx.png,2,"[1, 4, 10, 10, 10]"
150,data/valid/image472_42xxx.png,2,"[4, 2, 10, 10, 10]"
151,data/valid/image924_8xxxx.png,1,"[8, 10, 10, 10, 10]"
152,data/valid/image303_16xxx.png,2,"[1, 6, 10, 10, 10]"
153,data/valid/image3715_53xxx.png,2,"[5, 3, 10, 10, 10]"
154,data/valid/image3404_17xxx.png,2,"[1, 7, 10, 10, 10]"
155,data/valid/image2608_27xxx.png,2,"[2, 7, 10, 10, 10]"
156,data/valid/image2071_1xxxx.png,1,"[1, 10, 10, 10, 10]"
157,data/valid/image3185_93xxx.png,2,"[9, 3, 10, 10, 10]"
158,data/valid/image1338_138xx.png,3,"[1, 3, 8, 10, 10]"
159,data/valid/image2599_749xx.png,3,"[7, 4, 9, 10, 10]"
160,data/valid/image655_210xx.png,3,"[2, 1, 0, 10, 10]"
161,data/valid/image447_403xx.png,3,"[4, 0, 3, 10, 10]"
162,data/valid/image3800_2xxxx.png,1,"[2, 10, 10, 10, 10]"
163,data/valid/image2752_572xx.png,3,"[5, 7, 2, 10, 10]"
164,data/valid/image1365_75xxx.png,2,"[7, 5, 10, 10, 10]"
165,data/valid/image27_2107x.png,4,"[2, 1, 0, 7, 10]"
166,data/valid/image2705_30xxx.png,2,"[3, 0, 10, 10, 10]"
167,data/valid/image3760_111xx.png,3,"[1, 1, 1, 10, 10]"
168,data/valid/image1919_18xxx.png,2,"[1, 8, 10, 10, 10]"
169,data/valid/image1792_106xx.png,3,"[1, 0, 6, 10, 10]"
170,data/valid/image2362_46xxx.png,2,"[4, 6, 10, 10, 10]"
171,data/valid/image1704_7xxxx.png,1,"[7, 10, 10, 10, 10]"
172,data/valid/image2519_48xxx.png,2,"[4, 8, 10, 10, 10]"
173,data/valid/image3464_4xxxx.png,1,"[4, 10, 10, 10, 10]"
174,data/valid/image2825_9xxxx.png,1,"[9, 10, 10, 10, 10]"
175,data/valid/image841_217xx.png,3,"[2, 1, 7, 10, 10]"
176,data/valid/image3590_120xx.png,3,"[1, 2, 0, 10, 10]"
177,data/valid/image1027_327xx.png,3,"[3, 2, 7, 10, 10]"
178,data/valid/image3289_2xxxx.png,1,"[2, 10, 10, 10, 10]"
179,data/valid/image3054_17xxx.png,2,"[1, 7, 10, 10, 10]"
180,data/valid/image1960_141xx.png,3,"[1, 4, 1, 10, 10]"
181,data/valid/image1358_275xx.png,3,"[2, 7, 5, 10, 10]"
182,data/valid/image2843_2xxxx.png,1,"[2, 10, 10, 10, 10]"
183,data/valid/image2049_75xxx.png,2,"[7, 5, 10, 10, 10]"
184,data/valid/image2945_17xxx.png,2,"[1, 7, 10, 10, 10]"
185,data/valid/image1505_40xxx.png,2,"[4, 0, 10, 10, 10]"
186,data/valid/image3576_58xxx.png,2,"[5, 8, 10, 10, 10]"
187,data/valid/image1323_9xxxx.png,1,"[9, 10, 10, 10, 10]"
188,data/valid/image395_399xx.png,3,"[3, 9, 9, 10, 10]"
189,data/valid/image1899_38xxx.png,2,"[3, 8, 10, 10, 10]"
190,data/valid/image3451_252xx.png,3,"[2, 5, 2, 10, 10]"
191,data/valid/image1368_29xxx.png,2,"[2, 9, 10, 10, 10]"
192,data/valid/image2397_10xxx.png,2,"[1, 0, 10, 10, 10]"
193,data/valid/image3189_25xxx.png,2,"[2, 5, 10, 10, 10]"
194,data/valid/image382_20xxx.png,2,"[2, 0, 10, 10, 10]"
195,data/valid/image178_20xxx.png,2,"[2, 0, 10, 10, 10]"
196,data/valid/image3647_187xx.png,3,"[1, 8, 7, 10, 10]"
197,data/valid/image946_107xx.png,3,"[1, 0, 7, 10, 10]"
198,data/valid/image2974_173xx.png,3,"[1, 7, 3, 10, 10]"
199,data/valid/image937_22xxx.png,2,"[2, 2, 10, 10, 10]"
200,data/valid/image2137_12xxx.png,2,"[1, 2, 10, 10, 10]"
201,data/valid/image193_11xxx.png,2,"[1, 1, 10, 10, 10]"
202,data/valid/image3706_48xxx.png,2,"[4, 8, 10, 10, 10]"
203,data/valid/image3671_19xxx.png,2,"[1, 9, 10, 10, 10]"
204,data/valid/image552_9xxxx.png,1,"[9, 10, 10, 10, 10]"
205,data/valid/image2824_4xxxx.png,1,"[4, 10, 10, 10, 10]"
206,data/valid/image390_9xxxx.png,1,"[9, 10, 10, 10, 10]"
207,data/valid/image3091_2119x.png,4,"[2, 1, 1, 9, 10]"
208,data/valid/image2193_11xxx.png,2,"[1, 1, 10, 10, 10]"
209,data/valid/image1820_51xxx.png,2,"[5, 1, 10, 10, 10]"
210,data/valid/image478_17xxx.png,2,"[1, 7, 10, 10, 10]"
211,data/valid/image2213_514xx.png,3,"[5, 1, 4, 10, 10]"
212,data/valid/image1825_98xxx.png,2,"[9, 8, 10, 10, 10]"
213,data/valid/image2499_87xxx.png,2,"[8, 7, 10, 10, 10]"
214,data/valid/image2795_72xxx.png,2,"[7, 2, 10, 10, 10]"
215,data/valid/image3981_44xxx.png,2,"[4, 4, 10, 10, 10]"
216,data/valid/image2714_3056x.png,4,"[3, 0, 5, 6, 10]"
217,data/valid/image1045_3xxxx.png,1,"[3, 10, 10, 10, 10]"
218,data/valid/image3555_222xx.png,3,"[2, 2, 2, 10, 10]"
219,data/valid/image1700_435xx.png,3,"[4, 3, 5, 10, 10]"
220,data/valid/image1040_40xxx.png,2,"[4, 0, 10, 10, 10]"
221,data/valid/image2486_31xxx.png,2,"[3, 1, 10, 10, 10]"
222,data/valid/image3037_81xxx.png,2,"[8, 1, 10, 10, 10]"
223,data/valid/image3324_2xxxx.png,1,"[2, 10, 10, 10, 10]"
224,data/valid/image3988_25xxx.png,2,"[2, 5, 10, 10, 10]"
225,data/valid/image845_180xx.png,3,"[1, 8, 0, 10, 10]"
226,data/valid/image3441_6xxxx.png,1,"[6, 10, 10, 10, 10]"
227,data/valid/image2085_282xx.png,3,"[2, 8, 2, 10, 10]"
228,data/valid/image2862_289xx.png,3,"[2, 8, 9, 10, 10]"
229,data/valid/image2593_73xxx.png,2,"[7, 3, 10, 10, 10]"
230,data/valid/image3813_2xxxx.png,1,"[2, 10, 10, 10, 10]"
231,data/valid/image2247_51xxx.png,2,"[5, 1, 10, 10, 10]"
232,data/valid/image693_436xx.png,3,"[4, 3, 6, 10, 10]"
233,data/valid/image2916_18xxx.png,2,"[1, 8, 10, 10, 10]"
234,data/valid/image2670_38xxx.png,2,"[3, 8, 10, 10, 10]"
235,data/valid/image1828_48xxx.png,2,"[4, 8, 10, 10, 10]"
236,data/valid/image577_36xxx.png,2,"[3, 6, 10, 10, 10]"
237,data/valid/image3484_40xxx.png,2,"[4, 0, 10, 10, 10]"
238,data/valid/image1746_13xxx.png,2,"[1, 3, 10, 10, 10]"
239,data/valid/image105_3xxxx.png,1,"[3, 10, 10, 10, 10]"
240,data/valid/image279_27xxx.png,2,"[2, 7, 10, 10, 10]"
241,data/valid/image2152_24xxx.png,2,"[2, 4, 10, 10, 10]"
242,data/valid/image1510_39xxx.png,2,"[3, 9, 10, 10, 10]"
243,data/valid/image2998_76xxx.png,2,"[7, 6, 10, 10, 10]"
244,data/valid/image1559_88xxx.png,2,"[8, 8, 10, 10, 10]"
245,data/valid/image1085_21xxx.png,2,"[2, 1, 10, 10, 10]"
246,data/valid/image915_29xxx.png,2,"[2, 9, 10, 10, 10]"
247,data/valid/image2026_249xx.png,3,"[2, 4, 9, 10, 10]"
248,data/valid/image904_111xx.png,3,"[1, 1, 1, 10, 10]"
249,data/valid/image1182_36xxx.png,2,"[3, 6, 10, 10, 10]"
250,data/valid/image1392_36xxx.png,2,"[3, 6, 10, 10, 10]"
251,data/valid/image3723_99xxx.png,2,"[9, 9, 10, 10, 10]"
252,data/valid/image190_71xxx.png,2,"[7, 1, 10, 10, 10]"
253,data/valid/image2226_670xx.png,3,"[6, 7, 0, 10, 10]"
254,data/valid/image3018_61xxx.png,2,"[6, 1, 10, 10, 10]"
255,data/valid/image1678_50xxx.png,2,"[5, 0, 10, 10, 10]"
256,data/valid/image3530_67xxx.png,2,"[6, 7, 10, 10, 10]"
257,data/valid/image150_5xxxx.png,1,"[5, 10, 10, 10, 10]"
258,data/valid/image3592_11xxx.png,2,"[1, 1, 10, 10, 10]"
259,data/valid/image1521_130xx.png,3,"[1, 3, 0, 10, 10]"
260,data/valid/image1083_2xxxx.png,1,"[2, 10, 10, 10, 10]"
261,data/valid/image2265_8xxxx.png,1,"[8, 10, 10, 10, 10]"
262,data/valid/image1171_58xxx.png,2,"[5, 8, 10, 10, 10]"
263,data/valid/image316_53xxx.png,2,"[5, 3, 10, 10, 10]"
264,data/valid/image969_93xxx.png,2,"[9, 3, 10, 10, 10]"
265,data/valid/image198_73xxx.png,2,"[7, 3, 10, 10, 10]"
266,data/valid/image2667_180xx.png,3,"[1, 8, 0, 10, 10]"
267,data/valid/image2433_1xxxx.png,1,"[1, 10, 10, 10, 10]"
268,data/valid/image327_97xxx.png,2,"[9, 7, 10, 10, 10]"
269,data/valid/image872_47xxx.png,2,"[4, 7, 10, 10, 10]"
270,data/valid/image3893_25xxx.png,2,"[2, 5, 10, 10, 10]"
271,data/valid/image3516_22xxx.png,2,"[2, 2, 10, 10, 10]"
272,data/valid/image2168_3xxxx.png,1,"[3, 10, 10, 10, 10]"
273,data/valid/image1566_41xxx.png,2,"[4, 1, 10, 10, 10]"
274,data/valid/image1831_22xxx.png,2,"[2, 2, 10, 10, 10]"
275,data/valid/image381_1xxxx.png,1,"[1, 10, 10, 10, 10]"
276,data/valid/image3746_27xxx.png,2,"[2, 7, 10, 10, 10]"
277,data/valid/image2801_71xxx.png,2,"[7, 1, 10, 10, 10]"
278,data/valid/image851_53xxx.png,2,"[5, 3, 10, 10, 10]"
279,data/valid/image3668_57xxx.png,2,"[5, 7, 10, 10, 10]"
280,data/valid/image1031_8xxxx.png,1,"[8, 10, 10, 10, 10]"
281,data/valid/image3730_121xx.png,3,"[1, 2, 1, 10, 10]"
282,data/valid/image2596_47xxx.png,2,"[4, 7, 10, 10, 10]"
283,data/valid/image2476_3940x.png,4,"[3, 9, 4, 0, 10]"
284,data/valid/image2441_26xxx.png,2,"[2, 6, 10, 10, 10]"
285,data/valid/image2652_291xx.png,3,"[2, 9, 1, 10, 10]"
286,data/valid/image498_256xx.png,3,"[2, 5, 6, 10, 10]"
287,data/valid/image1428_36xxx.png,2,"[3, 6, 10, 10, 10]"
288,data/valid/image3436_2xxxx.png,1,"[2, 10, 10, 10, 10]"
289,data/valid/image367_62xxx.png,2,"[6, 2, 10, 10, 10]"
290,data/valid/image3391_188xx.png,3,"[1, 8, 8, 10, 10]"
291,data/valid/image1252_449xx.png,3,"[4, 4, 9, 10, 10]"
292,data/valid/image1159_46xxx.png,2,"[4, 6, 10, 10, 10]"
293,data/valid/image1114_1xxxx.png,1,"[1, 10, 10, 10, 10]"
294,data/valid/image790_264xx.png,3,"[2, 6, 4, 10, 10]"
295,data/valid/image370_45xxx.png,2,"[4, 5, 10, 10, 10]"
296,data/valid/image1971_161xx.png,3,"[1, 6, 1, 10, 10]"
297,data/valid/image2324_72xxx.png,2,"[7, 2, 10, 10, 10]"
298,data/valid/image337_31xxx.png,2,"[3, 1, 10, 10, 10]"
299,data/valid/image1376_35xxx.png,2,"[3, 5, 10, 10, 10]"
300,data/valid/image1749_80xxx.png,2,"[8, 0, 10, 10, 10]"
301,data/valid/image2084_226xx.png,3,"[2, 2, 6, 10, 10]"
302,data/valid/image3009_7xxxx.png,1,"[7, 10, 10, 10, 10]"
303,data/valid/image3080_13xxx.png,2,"[1, 3, 10, 10, 10]"
304,data/valid/image1319_26xxx.png,2,"[2, 6, 10, 10, 10]"
305,data/valid/image1540_1882x.png,4,"[1, 8, 8, 2, 10]"
306,data/valid/image2365_90xxx.png,2,"[9, 0, 10, 10, 10]"
307,data/valid/image2685_175xx.png,3,"[1, 7, 5, 10, 10]"
308,data/valid/image818_43xxx.png,2,"[4, 3, 10, 10, 10]"
309,data/valid/image2835_87xxx.png,2,"[8, 7, 10, 10, 10]"
310,data/valid/image2856_50xxx.png,2,"[5, 0, 10, 10, 10]"
311,data/valid/image2553_20xxx.png,2,"[2, 0, 10, 10, 10]"
312,data/valid/image1631_3xxxx.png,1,"[3, 10, 10, 10, 10]"
313,data/valid/image173_209xx.png,3,"[2, 0, 9, 10, 10]"
314,data/valid/image99_154xx.png,3,"[1, 5, 4, 10, 10]"
315,data/valid/image2067_94xxx.png,2,"[9, 4, 10, 10, 10]"
316,data/valid/image726_10xxx.png,2,"[1, 0, 10, 10, 10]"
317,data/valid/image1685_7xxxx.png,1,"[7, 10, 10, 10, 10]"
318,data/valid/image597_63xxx.png,2,"[6, 3, 10, 10, 10]"
319,data/valid/image1891_52xxx.png,2,"[5, 2, 10, 10, 10]"
320,data/valid/image1496_231xx.png,3,"[2, 3, 1, 10, 10]"
321,data/valid/image649_59xxx.png,2,"[5, 9, 10, 10, 10]"
322,data/valid/image526_183xx.png,3,"[1, 8, 3, 10, 10]"
323,data/valid/image418_2xxxx.png,1,"[2, 10, 10, 10, 10]"
324,data/valid/image598_18xxx.png,2,"[1, 8, 10, 10, 10]"
325,data/valid/image2731_516xx.png,3,"[5, 1, 6, 10, 10]"
326,data/valid/image2656_17xxx.png,2,"[1, 7, 10, 10, 10]"
327,data/valid/image3477_1554x.png,4,"[1, 5, 5, 4, 10]"
328,data/valid/image2687_97xxx.png,2,"[9, 7, 10, 10, 10]"
329,data/valid/image2410_65xxx.png,2,"[6, 5, 10, 10, 10]"
330,data/valid/image1109_47xxx.png,2,"[4, 7, 10, 10, 10]"
331,data/valid/image1343_29xxx.png,2,"[2, 9, 10, 10, 10]"
332,data/valid/image3293_2xxxx.png,1,"[2, 10, 10, 10, 10]"
333,data/valid/image3807_79xxx.png,2,"[7, 9, 10, 10, 10]"
334,data/valid/image1871_146xx.png,3,"[1, 4, 6, 10, 10]"
335,data/valid/image2244_19xxx.png,2,"[1, 9, 10, 10, 10]"
336,data/valid/image3791_8xxxx.png,1,"[8, 10, 10, 10, 10]"
337,data/valid/image2700_1001x.png,4,"[1, 0, 0, 1, 10]"
338,data/valid/image623_13xxx.png,2,"[1, 3, 10, 10, 10]"
339,data/valid/image2173_107xx.png,3,"[1, 0, 7, 10, 10]"
340,data/valid/image3865_19xxx.png,2,"[1, 9, 10, 10, 10]"
341,data/valid/image267_13xxx.png,2,"[1, 3, 10, 10, 10]"
342,data/valid/image1584_8xxxx.png,1,"[8, 10, 10, 10, 10]"
343,data/valid/image1840_11xxx.png,2,"[1, 1, 10, 10, 10]"
344,data/valid/image3796_2xxxx.png,1,"[2, 10, 10, 10, 10]"
345,data/valid/image864_88xxx.png,2,"[8, 8, 10, 10, 10]"
346,data/valid/image2440_82xxx.png,2,"[8, 2, 10, 10, 10]"
347,data/valid/image128_39xxx.png,2,"[3, 9, 10, 10, 10]"
348,data/valid/image1052_217xx.png,3,"[2, 1, 7, 10, 10]"
349,data/valid/image1569_954xx.png,3,"[9, 5, 4, 10, 10]"
350,data/valid/image634_116xx.png,3,"[1, 1, 6, 10, 10]"
351,data/valid/image2375_11xxx.png,2,"[1, 1, 10, 10, 10]"
352,data/valid/image654_57xxx.png,2,"[5, 7, 10, 10, 10]"
353,data/valid/image1634_276xx.png,3,"[2, 7, 6, 10, 10]"
354,data/valid/image1714_62xxx.png,2,"[6, 2, 10, 10, 10]"
355,data/valid/image1041_29xxx.png,2,"[2, 9, 10, 10, 10]"
356,data/valid/image392_4xxxx.png,1,"[4, 10, 10, 10, 10]"
357,data/valid/image1097_8xxxx.png,1,"[8, 10, 10, 10, 10]"
358,data/valid/image1525_44xxx.png,2,"[4, 4, 10, 10, 10]"
359,data/valid/image365_60xxx.png,2,"[6, 0, 10, 10, 10]"
360,data/valid/image43_19xxx.png,2,"[1, 9, 10, 10, 10]"
361,data/valid/image2909_11xxx.png,2,"[1, 1, 10, 10, 10]"
362,data/valid/image2542_155xx.png,3,"[1, 5, 5, 10, 10]"
363,data/valid/image480_55xxx.png,2,"[5, 5, 10, 10, 10]"
364,data/valid/image2105_576xx.png,3,"[5, 7, 6, 10, 10]"
365,data/valid/image2017_14xxx.png,2,"[1, 4, 10, 10, 10]"
366,data/valid/image29_450xx.png,3,"[4, 5, 0, 10, 10]"
367,data/valid/image642_96xxx.png,2,"[9, 6, 10, 10, 10]"
368,data/valid/image1332_71xxx.png,2,"[7, 1, 10, 10, 10]"
369,data/valid/image3162_10xxx.png,2,"[1, 0, 10, 10, 10]"
370,data/valid/image840_23xxx.png,2,"[2, 3, 10, 10, 10]"
